pH,Plant Type
7.0,Neutral Sustainers
7.2,Alkaline Adapters
7.0,Neutral Sustainers
7.2,Alkaline Adapters
7.2,Alkaline Adapters
7.0,Neutral Sustainers
6.0,Acidic Nurturers
8.1,Alkaline Enthusiasts
8.6,Extreme Alkaline Survivors
8.1,Alkaline Enthusiasts
8.0,Alkaline Adapters
7.9,Alkaline Adapters
8.0,Alkaline Adapters
7.8,Alkaline Adapters
7.9,Alkaline Adapters
7.9,Alkaline Adapters
7.8,Alkaline Adapters
8.0,Alkaline Adapters
8.7,Extreme Alkaline Survivors
7.5,Alkaline Adapters
5.8,Acidic Nurturers
5.5,Acidic Nurturers
8.5,Alkaline Enthusiasts
8.4,Alkaline Enthusiasts
7.7,Alkaline Adapters
7.7,Alkaline Adapters
7.5,Alkaline Adapters
7.5,Alkaline Adapters
6.0,Acidic Nurturers
5.0,Acidic Specialists
6.0,Acidic Nurturers
5.0,Acidic Specialists
6.0,Acidic Nurturers
7.0,Neutral Sustainers
8.2,Alkaline Enthusiasts
8.5,Alkaline Enthusiasts
9.0,Extreme Alkaline Survivors
8.3,Alkaline Enthusiasts
7.8,Alkaline Adapters
8.1,Alkaline Enthusiasts
8.0,Alkaline Adapters
8.2,Alkaline Enthusiasts
8.0,Alkaline Adapters
8.0,Alkaline Adapters
8.2,Alkaline Enthusiasts
8.0,Alkaline Adapters
8.1,Alkaline Enthusiasts
8.5,Alkaline Enthusiasts
8.1,Alkaline Enthusiasts
8.6,Extreme Alkaline Survivors
7.5,Alkaline Adapters
7.8,Alkaline Adapters
7.8,Alkaline Adapters
7.0,Neutral Sustainers
7.1,Alkaline Adapters
7.1,Alkaline Adapters
6.6,Neutral Sustainers
6.9,Neutral Sustainers
7.1,Alkaline Adapters
7.1,Alkaline Adapters
7.1,Alkaline Adapters
7.3,Alkaline Adapters
7.6,Alkaline Adapters
8.8,Extreme Alkaline Survivors
9.2,Unknown
8.9,Extreme Alkaline Survivors
7.2,Alkaline Adapters
7.0,Neutral Sustainers
7.1,Alkaline Adapters
6.9,Neutral Sustainers
7.4,Alkaline Adapters
7.1,Alkaline Adapters
7.5,Alkaline Adapters
7.1,Alkaline Adapters
6.9,Neutral Sustainers
7.2,Alkaline Adapters
6.8,Neutral Sustainers
7.4,Alkaline Adapters
7.3,Alkaline Adapters
7.5,Alkaline Adapters
6.8,Neutral Sustainers
7.0,Neutral Sustainers
7.2,Alkaline Adapters
7.1,Alkaline Adapters
7.3,Alkaline Adapters
7.3,Alkaline Adapters
6.9,Neutral Sustainers
7.2,Alkaline Adapters
7.0,Neutral Sustainers
6.8,Neutral Sustainers
6.8,Neutral Sustainers
6.9,Neutral Sustainers
7.0,Neutral Sustainers
7.1,Alkaline Adapters
6.8,Neutral Sustainers
6.4,Neutral Sustainers
6.5,Neutral Sustainers
6.5,Neutral Sustainers
6.3,Neutral Sustainers
6.4,Neutral Sustainers
6.7,Neutral Sustainers
6.1,Neutral Sustainers
6.1,Neutral Sustainers
6.4,Neutral Sustainers
6.4,Neutral Sustainers
6.3,Neutral Sustainers
6.1,Neutral Sustainers
6.7,Neutral Sustainers
6.6,Neutral Sustainers
6.5,Neutral Sustainers
6.5,Neutral Sustainers
6.4,Neutral Sustainers
6.5,Neutral Sustainers
6.6,Neutral Sustainers
6.3,Neutral Sustainers
6.4,Neutral Sustainers
6.3,Neutral Sustainers
6.2,Neutral Sustainers
3.4,Unknown
7.0,Neutral Sustainers
6.8,Neutral Sustainers
6.7,Neutral Sustainers
6.4,Neutral Sustainers
5.3,Acidic Nurturers
8.9,Extreme Alkaline Survivors
8.1,Alkaline Enthusiasts
6.5,Neutral Sustainers
