organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, soil phs:userid,soil phs:horizon number,soil phs:horizon top depth (cm),soil phs:horizon bottom depth (cm),soil phs:reference depth level 5cm,soil phs:reference depth level 10cm,soil phs:reference depth level 30cm,soil phs:reference depth level 50cm,soil phs:reference depth level 60cm,soil phs:reference depth level 90cm,soil phs:collected on,soil phs:ph,soil phs:ph method,soil phs:comments,soil phs:globe teams
The GLOBE ID assigned to the school or organization,The name of the reporting school or other institution,The GLOBE ID assigned to the site,The name assigned to the site where the data were collected; the name is selected by the reporting person as part of site definition,The latitude of the site where data were observed in decimal degrees,The longitude of the site where date were observed in decimal degrees,The elevation of the site where data were observed in meters,The date only of when the data were observed in Coordinated Universal Time (UTC),,Horizon number of the soil characterization measurements,Soil horizon top depth in centimeters,Soil horizon bottom depth in centimeters,Number of the soil horizon at 5 cm depth,Number of the soil horizon at 10 cm depth,Number of the soil horizon at 30 cm depth,Number of the soil horizon at 50 cm depth,Number of the soil horizon at 60 cm depth,Number of the soil horizon at 90 cm depth,Date sample was collected for measurement of soil pH,pH of the soil horizon,"Method used to measure soil pH: paper, pen, or meter",Comments on the soil pH measurement,
63155469,2 Intermediate School Abu Arish  At Jazan,210635,Intermediate School Abu Arish At Jazan2,16.975218,42.844733,65.8,12/22/2021,64426877,1,0,50,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2021-12-22T00:00:00,7,meter,,
3317666,47th High School in Warsaw,32531,Wyspian:SCS-01,52.2408,21.07876,103,6/20/2013,3317791,1,0,11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2013-06-20T00:00:00,7.2,paper,,
3317666,47th High School in Warsaw,32531,Wyspian:SCS-01,52.2408,21.07876,103,6/20/2013,3317791,2,11,36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2013-06-20T00:00:00,7,paper,,
3317666,47th High School in Warsaw,32531,Wyspian:SCS-01,52.2408,21.07876,103,6/20/2013,3317791,3,36,48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2013-06-20T00:00:00,7.2,paper,,
3317666,47th High School in Warsaw,32531,Wyspian:SCS-01,52.2408,21.07876,103,6/20/2013,3317791,4,48,74,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2013-06-20T00:00:00,7.2,paper,,
3317666,47th High School in Warsaw,32531,Wyspian:SCS-01,52.2408,21.07876,103,6/20/2013,3317791,5,74,120,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2013-06-20T00:00:00,7,paper,,
230038,Abbeville Elementary School,17644,Abbeville Soil:SCS-01,31.56678,-85.2485,230.4,2/25/2009,-1,1,0,10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2009-02-25T00:00:00,6,,,
105985,Abdulrahman Bin Alharith Intermediate School at Riyadh,13103,KING FAHD STADIUM:SCS-01,24.47,46.499,582.7,12/5/2010,-1,1,0,62,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2010-12-05T00:00:00,8.1,meter,,
23060725,Abu baker alsedik basic school,331374,Aboubaker soil,26.10611,56.14815,10,10/29/2023,23336839,1,0,70,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2023-10-29T00:00:00,8.6,meter,,
