 site_name, latitude, longitude,soil phs:ph
Intermediate School Abu Arish At Jazan2,16.975218,42.844733,7
Wyspian:SCS-01,52.2408,21.07876,7.2
Wyspian:SCS-01,52.2408,21.07876,7
Wyspian:SCS-01,52.2408,21.07876,7.2
Wyspian:SCS-01,52.2408,21.07876,7.2
Wyspian:SCS-01,52.2408,21.07876,7
Abbeville Soil:SCS-01,31.56678,-85.2485,6
KING FAHD STADIUM:SCS-01,24.47,46.499,8.1
Aboubaker soil,26.10611,56.14815,8.6
khassab-soil,26.10611,56.14815,8.1
khassab-soil,26.10611,56.14815,8
khassab-soil,26.10611,56.14815,7.9
khasssab,26.10611,56.14815,8
khasssab,26.10611,56.14815,7.8
khasssab,26.10611,56.14815,7.9
khasssab,26.10611,56.14815,7.9
khasssab,26.10611,56.14815,7.8
khasssab,26.10611,56.14815,8
moah soil,26.09356,56.13467,8.7
Hill by pond:SCS-01,42.64,-73.8542,7.5
Miss P.'s 5th Grade 2008:SCS-02,34.20555,-87.18034,5.8
"Sharon Naylor, Addison:SCS-01",33.8,-87.27,5.5
Ain Jaloot soil:SCS-01,23.53302,57.16531,8.5
Ain Jaloot soil:SCS-01,23.53302,57.16531,8.4
Ain Jaloot soil:SCS-01,23.53302,57.16531,7.7
Ain Jaloot soil:SCS-01,23.53302,57.16531,7.7
Dyan albosaid farm,23.53551,57.15491,7.5
dyan aljahawir farm,23.51534,57.14077,7.5
Akiachak gas station:SCS-01,60.8898,-161.3923,6
Akiachak gas station:SCS-01,60.8898,-161.3923,5
Akiachak gas station:SCS-01,60.8898,-161.3923,6
Akiachak gas station:SCS-01,60.8898,-161.3923,5
Akiachak gas station:SCS-01,60.8898,-161.3923,6
Al alsuni Secondary Girls School:SCS-01,20.2728,40.8892,7
Anjal  soil,25.45444,49.7336,8.2
منطقة نمار,24.56851,46.67402,8.5
منطقة نمار,24.56851,46.67402,9
منطقة نمار,24.56851,46.67402,8.3
منطقة نمار,24.56851,46.67402,7.8
منطقة نمار,24.56851,46.67402,8.1
ALduqm,19.37114,57.37877,8
ALduqm,19.37114,57.37877,8.2
ALduqm,19.37114,57.37877,8
ALduqm school,19.37324,57.37876,8
ALduqm school,19.37324,57.37876,8.2
ALduqm school,19.37324,57.37876,8
almuna,23.54661,58.3927,8.1
التربة مدرسة الامام أحمد بن سعيد,24.341603,56.739414,8.5
التربة مدرسة الامام أحمد بن سعيد,24.341603,56.739414,8.1
التربة مدرسة الامام أحمد بن سعيد,24.341603,56.739414,8.6
soil/hydrology-A:SCS-05,40.0361,-105.0632,7.5
alansab,23.348633,58.261914,7.8
alansab,23.348633,58.261914,7.8
