pH,Humidity,Air Temp
7,68,28
7.2,21,25
7,51,24
7.2,45,24
7.2,7,23
7,7,25
6,7,25
8.1,7,24
8.6,17,24
8.1,13,25
8,25,23
7.9,20,24
8,18,25
7.8,18,24
7.9,16,25
7.9,18,24
7.8,17,24
8,17,25
8.7,15,25
7.5,17,25
5.8,17,30
5.5,15,27
8.5,15,27
8.4,15,27
7.7,16,27
7.7,17,21
7.5,14,22
7.5,15,23
6,30,23
5,30,23
6,40,21
5,35,22
6,30,23
7,40,22
8.2,40,23
8.5,35,21
9,35,25
8.3,40,25
7.8,35,23
8.1,45,26
8,40,26
8.2,40,25
8,35,26
8,45,26
8.2,45,24
8,50,24
8.1,45,26
8.5,45,27
8.1,45,28
8.6,45,30
7.5,40,31
7.8,45,27
7.8,35,28
7,36,27
7.1,50,27
7.1,65,25
6.6,50,26
6.9,45,28
7.1,45,28
7.1,40,30
7.1,45,29
7.3,44,28
7.6,17,28
8.8,45,26
9.2,35,28
8.9,35,32
7.2,35,32
7,35,31
7.1,35,28
6.9,40,28
7.4,44,28
7.1,44,26
7.5,35,26
7.1,35,24
6.9,45,28
7.2,44,28
6.8,35,29
7.4,35,29
7.3,45,27
7.5,44,20
6.8,35,26
7,45,26
7.2,35,26
7.1,44,25
7.3,45,25
7.3,44,25
6.9,35,27
7.2,35,30
7,35,30
6.8,35,31
6.8,40,31
6.9,40,30
7,40,28
7.1,35,28
6.8,40,30
6.4,40,31
6.5,35,32
6.5,45,32
6.3,44,30
6.4,35,30
6.7,40,30
6.1,40,33
6.1,45,32
6.4,44,29
6.4,45,28
6.3,40,31
6.1,44,29
6.7,45,28
6.6,44,28
6.5,45,29
6.5,44,31
6.4,45,31
6.5,44,30
6.6,44,30
6.3,45,33
6.4,45,34
6.3,35,34
6.2,35,33
3.4,44,34
7,35,33
6.8,35,35
6.7,35,33
6.4,44,34
5.3,45,35
8.9,45,35
8.1,44,36
6.5,45,34
9,44,34
7.8,45,34
8.1,23,36
7.8,23,36
8,23,36
8.2,33,36
7.9,33,37
7.9,31,37
7,31,38
7.5,44,37
7.5,45,37
6,44,27
6,60,20
6,60,26
7.7,60,22
8.2,35,36.9
8,35,36.9
8.2,27,33
7.9,27,35.6
8.3,30,35.3
8.3,49,33.9
7.9,49,34.5
8.3,49,34.5
8.4,49,31.8
8.3,40,34.5
8,40,33.2
8,15,38
8,17,31.2
8,17,39
9.2,12,40
9.4,17,39
7.4,17,40.2
7.6,17,40
7.4,17,26.8
10,17,25.7
6.6,18,27.6
8.6,19,26.5
6.9,20,25.8
7.2,17,25.8
7.2,19,26.6
6.5,35,26.5
7.5,35,23.8
7,40,34
7,17,34
8.1,35,12
9.2,14,9
7.8,17,9
7.6,17,3
7.1,19,2
8.4,17,2
8.6,17,1
8.5,23,4
7,14,8
6.4,15,3
8.1,15,3
7.4,17,9
7.3,17,0.6
4,33,10
7,33,12.5
7.9,21,10
7.2,18,-4
7.2,22,6
7.1,15,0.6
7.6,15,5
7.4,19,13.8
9.6,19,22.2
5.6,19,26.2
7.6,18,7.9
8.3,19,8
8.4,18,0.5
8.4,18,9
8.6,17,1.1
7.8,11,3
8.1,11,24.5
6.5,11,18.6
7.5,11,14.6
7.9,11,12.6
9.3,11,14.9
8.2,11,19.7
9.3,14,18.5
8.6,45,20.1
9.2,33,19.3
8.2,40,13.1
7.2,35,16.8
7.2,50,16.5
6.7,67,18.3
6.8,35,19
4.5,50,18.5
8,53,20.6
7,51,19.5
7,51,18.3
6,45,20.1
5,44,19.1
5.1,60,22.9
4.8,18,21.6
5.6,51,20.3
4,32,19.4
4.8,43,18.1
5.4,19,15.8
4.4,19,21.1
4.4,22,19.3
6.1,21,15.3
5.5,24,19.7
4.5,15,16.6
4.3,23,25.6
5.1,24,31.9
5.2,23,25.5
4.8,18,14.5
4.7,18,18.4
5.4,18,18.3
6.9,22,17.1
6.6,21,18.5
7.6,22,11.3
8.9,24,16.6
7.7,23,11.9
7.9,27,10
8.9,27,9.1
9.2,24,12
9.4,27,16
9.1,29,13.7
9,29,13.3
8.9,39,11.1
6,30,9.9
6,39,15.4
6,30,12.9
6,29,16.5
6,23,12.8
6,23,18.7
6,74,17.9
6,43,17.9
6,44,26.4
6,43,21.6
6,43,25.7
6,43,22.9
6,33,35.1
6,97,34
5,97,44
6,87,41.6
6,22,44.3
6,44,44.6
6,44,44.5
6,44,29.7
6,44,31.5
6,31,32.7
7,27,29.1
7,24,31.4
6,26,21.3
6,22,21.4
6,24,23.4
6,16,27
6,17,34.8
6,42,37.5
6,28,35.3
6,25,32.4
6,25,32.6
6,25,35.7
6,25,35.2
6,27,40.2
6,24,47
6,19,30.1
6,19,29.7
6,16,30.8
6,16,28.7
6,27,31.6
6,23,31.8
5.5,27,41.4
6.8,27,41.3
6.8,23,33.4
5.7,23,32.3
5.4,22,32.3
6.5,18,33.4
6.7,19,33.6
6,26,28.2
5.5,22,19.7
6.5,19,26.3
8,22,25.8
7.5,22,30.5
7.5,22,30.1
6,21,24.3
6,15,25.3
6,14,28.4
7.8,14,22.6
6.9,14,28.1
7.2,17,28.1
7.2,24,21.5
7.1,29,26.2
7.2,26,27.5
7.8,26,21.5
8,23,25.2
7,18,24.4
6.6,22,29.1
