pH,Humidity,Air Temp,Plant Type
7,68,28,Warm-Season Fruits and Vegetables
7.2,21,25,Unknown
7,51,24,Warm-Season Fruits and Vegetables
7.2,45,24,Warm-Season Fruits and Vegetables
7.2,7,23,Unknown
7,7,25,Unknown
6,7,25,Unknown
8.1,7,24,Unknown
8.6,17,24,Unknown
8.1,13,25,Unknown
8,25,23,Unknown
7.9,20,24,Unknown
8,18,25,Unknown
7.8,18,24,Unknown
7.9,16,25,Unknown
7.9,18,24,Unknown
7.8,17,24,Unknown
8,17,25,Unknown
8.7,15,25,Unknown
7.5,17,25,Unknown
5.8,17,30,Unknown
5.5,15,27,Unknown
8.5,15,27,Unknown
8.4,15,27,Unknown
7.7,16,27,Unknown
7.7,17,21,Unknown
7.5,14,22,Unknown
7.5,15,23,Unknown
6,30,23,Unknown
5,30,23,Unknown
6,40,21,Unknown
5,35,22,Unknown
6,30,23,Unknown
7,40,22,Warm-Season Fruits and Vegetables
8.2,40,23,Unknown
8.5,35,21,Unknown
9,35,25,Unknown
8.3,40,25,Unknown
7.8,35,23,Unknown
8.1,45,26,Unknown
8,40,26,Unknown
8.2,40,25,Unknown
8,35,26,Unknown
8,45,26,Unknown
8.2,45,24,Unknown
8,50,24,Herbs and Aromatic Plants
8.1,45,26,Unknown
8.5,45,27,Unknown
8.1,45,28,Unknown
8.6,45,30,Unknown
7.5,40,31,Drought-Resistant Plants
7.8,45,27,Unknown
7.8,35,28,Unknown
7,36,27,Unknown
7.1,50,27,Warm-Season Fruits and Vegetables
7.1,65,25,Warm-Season Fruits and Vegetables
6.6,50,26,Warm-Season Fruits and Vegetables
6.9,45,28,Warm-Season Fruits and Vegetables
7.1,45,28,Warm-Season Fruits and Vegetables
7.1,40,30,Warm-Season Fruits and Vegetables
7.1,45,29,Warm-Season Fruits and Vegetables
7.3,44,28,Warm-Season Fruits and Vegetables
7.6,17,28,Unknown
8.8,45,26,Unknown
9.2,35,28,Unknown
8.9,35,32,Drought-Resistant Plants
7.2,35,32,Unknown
7,35,31,Unknown
7.1,35,28,Unknown
6.9,40,28,Warm-Season Fruits and Vegetables
7.4,44,28,Warm-Season Fruits and Vegetables
7.1,44,26,Warm-Season Fruits and Vegetables
7.5,35,26,Unknown
7.1,35,24,Unknown
6.9,45,28,Warm-Season Fruits and Vegetables
7.2,44,28,Warm-Season Fruits and Vegetables
6.8,35,29,Unknown
7.4,35,29,Unknown
7.3,45,27,Warm-Season Fruits and Vegetables
7.5,44,20,Warm-Season Fruits and Vegetables
6.8,35,26,Unknown
7,45,26,Warm-Season Fruits and Vegetables
7.2,35,26,Unknown
7.1,44,25,Warm-Season Fruits and Vegetables
7.3,45,25,Warm-Season Fruits and Vegetables
7.3,44,25,Warm-Season Fruits and Vegetables
6.9,35,27,Unknown
7.2,35,30,Unknown
7,35,30,Unknown
6.8,35,31,Unknown
6.8,40,31,Unknown
6.9,40,30,Warm-Season Fruits and Vegetables
7,40,28,Warm-Season Fruits and Vegetables
7.1,35,28,Unknown
6.8,40,30,Warm-Season Fruits and Vegetables
6.4,40,31,Unknown
6.5,35,32,Unknown
6.5,45,32,Unknown
6.3,44,30,Unknown
6.4,35,30,Unknown
6.7,40,30,Warm-Season Fruits and Vegetables
6.1,40,33,Unknown
6.1,45,32,Unknown
6.4,44,29,Unknown
6.4,45,28,Unknown
6.3,40,31,Unknown
6.1,44,29,Unknown
6.7,45,28,Warm-Season Fruits and Vegetables
6.6,44,28,Warm-Season Fruits and Vegetables
6.5,45,29,Unknown
6.5,44,31,Unknown
6.4,45,31,Unknown
6.5,44,30,Unknown
6.6,44,30,Warm-Season Fruits and Vegetables
6.3,45,33,Unknown
6.4,45,34,Unknown
6.3,35,34,Unknown
6.2,35,33,Unknown
3.4,44,34,Unknown
7,35,33,Unknown
6.8,35,35,Unknown
6.7,35,33,Unknown
6.4,44,34,Unknown
5.3,45,35,Unknown
8.9,45,35,Unknown
8.1,44,36,Unknown
6.5,45,34,Unknown
9,44,34,Unknown
7.8,45,34,Unknown
8.1,23,36,Drought-Resistant Plants
7.8,23,36,Drought-Resistant Plants
8,23,36,Drought-Resistant Plants
8.2,33,36,Drought-Resistant Plants
7.9,33,37,Drought-Resistant Plants
7.9,31,37,Drought-Resistant Plants
7,31,38,Unknown
7.5,44,37,Unknown
7.5,45,37,Unknown
6,44,27,Unknown
6,60,20,Leafy Greens and Root Vegetables
6,60,26,Unknown
7.7,60,22,Herbs and Aromatic Plants
8.2,35,36.9,Drought-Resistant Plants
8,35,36.9,Drought-Resistant Plants
8.2,27,33,Drought-Resistant Plants
7.9,27,35.6,Drought-Resistant Plants
8.3,30,35.3,Drought-Resistant Plants
8.3,49,33.9,Unknown
7.9,49,34.5,Unknown
8.3,49,34.5,Unknown
8.4,49,31.8,Unknown
8.3,40,34.5,Drought-Resistant Plants
8,40,33.2,Drought-Resistant Plants
8,15,38,Unknown
8,17,31.2,Unknown
8,17,39,Unknown
9.2,12,40,Unknown
9.4,17,39,Unknown
7.4,17,40.2,Unknown
7.6,17,40,Unknown
7.4,17,26.8,Unknown
10,17,25.7,Unknown
6.6,18,27.6,Unknown
8.6,19,26.5,Unknown
6.9,20,25.8,Unknown
7.2,17,25.8,Unknown
7.2,19,26.6,Unknown
6.5,35,26.5,Unknown
7.5,35,23.8,Unknown
7,40,34,Unknown
7,17,34,Unknown
8.1,35,12,Unknown
9.2,14,9,Unknown
7.8,17,9,Unknown
7.6,17,3,Unknown
7.1,19,2,Unknown
8.4,17,2,Unknown
8.6,17,1,Unknown
8.5,23,4,Unknown
7,14,8,Unknown
6.4,15,3,Unknown
8.1,15,3,Unknown
7.4,17,9,Unknown
7.3,17,0.6,Unknown
4,33,10,Berries and Evergreens
7,33,12.5,Unknown
7.9,21,10,Unknown
7.2,18,-4,Unknown
7.2,22,6,Unknown
7.1,15,0.6,Unknown
7.6,15,5,Unknown
7.4,19,13.8,Unknown
9.6,19,22.2,Unknown
5.6,19,26.2,Unknown
7.6,18,7.9,Unknown
8.3,19,8,Unknown
8.4,18,0.5,Unknown
8.4,18,9,Unknown
8.6,17,1.1,Unknown
7.8,11,3,Unknown
8.1,11,24.5,Unknown
6.5,11,18.6,Unknown
7.5,11,14.6,Unknown
7.9,11,12.6,Unknown
9.3,11,14.9,Unknown
8.2,11,19.7,Unknown
9.3,14,18.5,Unknown
8.6,45,20.1,Unknown
9.2,33,19.3,Unknown
8.2,40,13.1,Unknown
7.2,35,16.8,Unknown
7.2,50,16.5,Herbs and Aromatic Plants
6.7,67,18.3,Unknown
6.8,35,19,Unknown
4.5,50,18.5,Unknown
8,53,20.6,Herbs and Aromatic Plants
7,51,19.5,Herbs and Aromatic Plants
7,51,18.3,Herbs and Aromatic Plants
6,45,20.1,Unknown
5,44,19.1,Unknown
5.1,60,22.9,Unknown
4.8,18,21.6,Unknown
5.6,51,20.3,Unknown
4,32,19.4,Unknown
4.8,43,18.1,Unknown
5.4,19,15.8,Unknown
4.4,19,21.1,Unknown
4.4,22,19.3,Unknown
6.1,21,15.3,Unknown
5.5,24,19.7,Unknown
