pH,Humidity,Air Temp,Plant Type
7.0,68.0,28.0,Warm-Season Fruits and Vegetables
7.0,51.0,24.0,Warm-Season Fruits and Vegetables
7.2,45.0,24.0,Warm-Season Fruits and Vegetables
7.0,40.0,22.0,Warm-Season Fruits and Vegetables
8.0,50.0,24.0,Herbs and Aromatic Plants
7.5,40.0,31.0,Drought-Resistant Plants
7.1,50.0,27.0,Warm-Season Fruits and Vegetables
7.1,65.0,25.0,Warm-Season Fruits and Vegetables
6.6,50.0,26.0,Warm-Season Fruits and Vegetables
6.9,45.0,28.0,Warm-Season Fruits and Vegetables
7.1,45.0,28.0,Warm-Season Fruits and Vegetables
7.1,40.0,30.0,Warm-Season Fruits and Vegetables
7.1,45.0,29.0,Warm-Season Fruits and Vegetables
7.3,44.0,28.0,Warm-Season Fruits and Vegetables
8.9,35.0,32.0,Drought-Resistant Plants
6.9,40.0,28.0,Warm-Season Fruits and Vegetables
7.4,44.0,28.0,Warm-Season Fruits and Vegetables
7.1,44.0,26.0,Warm-Season Fruits and Vegetables
6.9,45.0,28.0,Warm-Season Fruits and Vegetables
7.2,44.0,28.0,Warm-Season Fruits and Vegetables
7.3,45.0,27.0,Warm-Season Fruits and Vegetables
7.5,44.0,20.0,Warm-Season Fruits and Vegetables
7.0,45.0,26.0,Warm-Season Fruits and Vegetables
7.1,44.0,25.0,Warm-Season Fruits and Vegetables
7.3,45.0,25.0,Warm-Season Fruits and Vegetables
7.3,44.0,25.0,Warm-Season Fruits and Vegetables
6.9,40.0,30.0,Warm-Season Fruits and Vegetables
7.0,40.0,28.0,Warm-Season Fruits and Vegetables
6.8,40.0,30.0,Warm-Season Fruits and Vegetables
6.7,40.0,30.0,Warm-Season Fruits and Vegetables
6.7,45.0,28.0,Warm-Season Fruits and Vegetables
6.6,44.0,28.0,Warm-Season Fruits and Vegetables
6.6,44.0,30.0,Warm-Season Fruits and Vegetables
8.1,23.0,36.0,Drought-Resistant Plants
7.8,23.0,36.0,Drought-Resistant Plants
8.0,23.0,36.0,Drought-Resistant Plants
8.2,33.0,36.0,Drought-Resistant Plants
7.9,33.0,37.0,Drought-Resistant Plants
7.9,31.0,37.0,Drought-Resistant Plants
6.0,60.0,20.0,Leafy Greens and Root Vegetables
7.7,60.0,22.0,Herbs and Aromatic Plants
8.2,35.0,36.9,Drought-Resistant Plants
8.0,35.0,36.9,Drought-Resistant Plants
8.2,27.0,33.0,Drought-Resistant Plants
7.9,27.0,35.6,Drought-Resistant Plants
8.3,30.0,35.3,Drought-Resistant Plants
8.3,40.0,34.5,Drought-Resistant Plants
8.0,40.0,33.2,Drought-Resistant Plants
4.0,33.0,10.0,Berries and Evergreens
7.2,50.0,16.5,Herbs and Aromatic Plants
8.0,53.0,20.6,Herbs and Aromatic Plants
7.0,51.0,19.5,Herbs and Aromatic Plants
7.0,51.0,18.3,Herbs and Aromatic Plants
6.0,39.0,15.4,Leafy Greens and Root Vegetables
6.0,30.0,12.9,Leafy Greens and Root Vegetables
6.0,43.0,17.9,Leafy Greens and Root Vegetables
6.0,97.0,34.0,Tropical and Wetland Plants
7.5,22.0,30.5,Drought-Resistant Plants
7.5,22.0,30.1,Drought-Resistant Plants
7.9,20.0,32.3,Drought-Resistant Plants
7.7,28.0,30.7,Drought-Resistant Plants
7.8,28.0,36.2,Drought-Resistant Plants
7.7,28.0,37.0,Drought-Resistant Plants
8.0,28.0,30.6,Drought-Resistant Plants
8.0,28.0,31.6,Drought-Resistant Plants
8.0,28.0,32.3,Drought-Resistant Plants
7.5,28.0,32.3,Drought-Resistant Plants
7.5,28.0,32.3,Drought-Resistant Plants
8.0,20.0,33.0,Drought-Resistant Plants
7.5,28.0,33.0,Drought-Resistant Plants
7.6,30.0,31.0,Drought-Resistant Plants
5.0,28.0,9.3,Berries and Evergreens
6.0,40.0,13.8,Leafy Greens and Root Vegetables
6.5,35.0,15.5,Leafy Greens and Root Vegetables
