Dissolved_Oxygen,Temperature,pH,Plant_Type
4.4,22.9,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,22.9,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,22.9,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,22.9,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8,10,7,"Cool, Neutral Stream with High Oxygen"
11,15.5,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9.2,11.8,7.5,"Cool, Neutral Stream with High Oxygen"
12,11,7,"Cool, Neutral Stream with High Oxygen"
6,26,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.9,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.2,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.4,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.8,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.7,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.5,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.3,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,25,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,24,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
8,15,7.5,"Cool, Neutral Stream with High Oxygen"
5.5,23,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
9.5,15,7,"Cool, Neutral Stream with High Oxygen"
8,20,6.8,"Hot, Neutral Pond with High Oxygen"
9.5,15,7,"Cool, Neutral Stream with High Oxygen"
11.2,16.9,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
5.3,21.5,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
10.7,10.1,6.2,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12.3,11.3,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.9,16.2,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12,19.4,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.6,13.4,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.2,13.4,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.2,16.9,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.8,17.6,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.4,14.9,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
1.9,26.5,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,29,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.5,28,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,25,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.6,29.5,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.9,29,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.9,26.7,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.5,29,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.5,27,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,26.5,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,28.7,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,27.8,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.2,29,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.5,27.2,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.6,27,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2,27.2,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.8,27.3,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2,29.3,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.6,27,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
4,27.3,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.9,29.2,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.7,29,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.6,27.2,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5.1,26.9,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
7,24.2,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
4,29.6,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6,27.4,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
5.2,27.1,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6,26,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,28,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,28,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
7.4,22,7.2,"Hot, Neutral Pond with High Oxygen"
7.4,20,7.2,"Hot, Neutral Pond with High Oxygen"
7,23,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
6.3,24,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
7,28,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
7.4,20,7.2,"Hot, Neutral Pond with High Oxygen"
7.4,23,7.2,"Hot, Neutral Pond with High Oxygen"
7,23,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
9,24,7,"Hot, Neutral Pond with High Oxygen"
9,21.3,6.9,"Hot, Neutral Pond with High Oxygen"
10.3,19.7,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9,22,6.9,"Hot, Neutral Pond with High Oxygen"
9,22,7,"Hot, Neutral Pond with High Oxygen"
9.7,22,7,"Hot, Neutral Pond with High Oxygen"
9,22,7,"Hot, Neutral Pond with High Oxygen"
9.5,21,6.9,"Hot, Neutral Pond with High Oxygen"
9,22.7,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
9,25,7,"Hot, Neutral Pond with High Oxygen"
8,25,7.2,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
9,25,7,"Hot, Neutral Pond with High Oxygen"
9,25,7,"Hot, Neutral Pond with High Oxygen"
9,25,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
8,25,7,"Hot, Neutral Pond with High Oxygen"
10,28,7,"Hot, Neutral Pond with High Oxygen"
6,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
