Dissolved_Oxygen,pH,Plant_Type
4.4,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
8,7,"Cool, Neutral Stream with High Oxygen"
11,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9.2,7.5,"Cool, Neutral Stream with High Oxygen"
12,7,"Cool, Neutral Stream with High Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,6.8,"Tropical, Neutral Lake with Moderate Oxygen"
6,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
8,7.5,"Cool, Neutral Stream with High Oxygen"
5.5,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
9.5,7,"Cool, Neutral Stream with High Oxygen"
8,6.8,"Hot, Neutral Pond with High Oxygen"
9.5,7,"Cool, Neutral Stream with High Oxygen"
11.2,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
5.3,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
10.7,6.2,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12.3,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.9,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.6,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.2,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.2,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.8,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.4,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
1.9,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.5,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.6,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.9,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.9,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.5,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.5,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2.6,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.2,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.5,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.6,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
2,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.8,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
2,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.6,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
4,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.9,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
1.7,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.6,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
5.1,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
7,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
4,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
6,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
5.2,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,7,"Tropical, Neutral Lake with Moderate Oxygen"
7.4,7.2,"Hot, Neutral Pond with High Oxygen"
7.4,7.2,"Hot, Neutral Pond with High Oxygen"
7,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
6.3,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
7,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
7.4,7.2,"Hot, Neutral Pond with High Oxygen"
7.4,7.2,"Hot, Neutral Pond with High Oxygen"
7,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
9,7,"Hot, Neutral Pond with High Oxygen"
9,6.9,"Hot, Neutral Pond with High Oxygen"
10.3,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9,6.9,"Hot, Neutral Pond with High Oxygen"
9,7,"Hot, Neutral Pond with High Oxygen"
9.7,7,"Hot, Neutral Pond with High Oxygen"
9,7,"Hot, Neutral Pond with High Oxygen"
9.5,6.9,"Hot, Neutral Pond with High Oxygen"
9,7,"Hot, Neutral Pond with High Oxygen"
